ra;fase;turma;nome_anonimizado;idade_aprox;genero;ano_ingresso;instituicao_de_ensino;pedra;inde;iaa;ieg;ips;ida;mat;por;ing;ipv;ian;fase_ideal;defasagem;ano_coleta;ipp;ativo_inativo
RA-1;7;A;Aluno-1;19;Feminino;2016;Pública;Quartzo;5,78;8,3;4,1;5,6;4;2,7;3,5;6;7,28;5;8;-1;2022;;Ativo
RA-2;7;A;Aluno-2;17;Feminino;2017;Privada;Ametista;7,06;8,8;5,2;6,3;6,8;6,3;4,5;9,7;6,78;10;7;0;2022;;Ativo
RA-3;7;A;Aluno-3;17;Feminino;2016;Privada;Ágata;6,59;0;7,9;5,6;5,6;5,8;4;6,9;7,56;10;7;0;2022;;Ativo
RA-4;7;A;Aluno-4;17;Masculino;2017;Privada;Quartzo;5,95;8,8;4,5;5,6;5;2,8;3,5;8,7;5,28;10;7;0;2022;;Ativo
RA-5;7;A;Aluno-5;17;Feminino;2016;Privada;Ametista;7,43;7,9;8,6;5,6;5,2;7;2,9;5,7;7,39;10;7;0;2022;;Ativo
RA-6;7;A;Aluno-6;18;Feminino;2021;Pública;Quartzo;5,85;7,9;4,5;7,5;3,3;2,3;5,3;2,3;7,22;5;8;-1;2022;;Ativo
RA-7;7;A;Aluno-7;18;Masculino;2017;Privada;Ágata;6,82;0;8,4;7,5;7,6;8,2;5,7;9;7,67;5;8;-1;2022;;Ativo
RA-8;7;A;Aluno-8;20;Feminino;2018;Pública;Quartzo;4,79;7,1;4,6;6,3;1,6;1,2;0,7;2,9;6,28;5;8;-1;2022;;Ativo
RA-9;7;A;Aluno-9;18;Feminino;2019;Pública;Topázio;8,11;8,8;9,5;7,5;6,7;5,5;6;8,7;9,5;5;8;-1;2022;;Ativo
RA-10;7;A;Aluno-10;18;Feminino;2021;Pública;Quartzo;5,78;8,3;5,2;5;4,1;3,3;2,6;6,4;7,06;5;8;-1;2022;;Ativo
